"Txn Hash","Blockno","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0x1c4f919077ba8820660fa9737a39e107f33f84020b70302372e9c0671218bd4f","16730072",1677628811,2023-03-01 00:00:11,Swap,19996.4, FRAX, 1739.20795691986, FXS,0.08697605,FXS per FRAX,Uniswap V2
"0x3149552922d6210f1842e38f8c96792b13812d30a04a4cd3dcf36e28b2801547","16730072",1677628811,2023-03-01 00:00:11,Buy,2.17573217385354, ETH, 304.447911642104, FXS,0.00714648,ETH per FXS,SushiSwap
"0xe0dd81ce3111b90ca7c06ad78ec51ca1725140312847fdc70dda9a2d52b34755","16730072",1677628811,2023-03-01 00:00:11,Swap,49990.999, FRAX, 4346.0428160405, FXS,0.08693651,FXS per FRAX,Unknown
"0xafa378c7e6687ba3e7cd78848675dc8cbf13404eef6fa9d79f7ef7cf7de4bcd5","16730072",1677628811,2023-03-01 00:00:11,Swap,1.16, LEASH, 404.641783075429, BONE,0.00286673,LEASH per BONE,Unknown
"0x4c68d0096331975b298d33706aa28b9ac9067ec89429deda40265a0011796a0f","16730072",1677628811,2023-03-01 00:00:11,Sell,34.4601173831276, EUL, 0.161971472935229, ETH,0.00470026,ETH per EUL,Uniswap V2
"0x40dd10b2b84394dbc2cb8d4341a66bb41da72c2dcbc05cb21124d3aad803ff0a","16730072",1677628811,2023-03-01 00:00:11,Buy,0.11471495, ETH, 24.8154134456626, EUL,0.00462273,ETH per EUL,Uniswap V2
"0xba526f53bc1ec4039bf5602f26581712539e39a6bf477efca4deb8e9b2ea75e5","16730072",1677628811,2023-03-01 00:00:11,Buy,0.325070398143573, ETH, 35000, ATOR,0.00000929,ETH per ATOR,Uniswap V2
"0x64c5768625529b3f20190366f191e26c4f314a576d0b03146c3c93d1fb73a28a","16730072",1677628811,2023-03-01 00:00:11,Buy,76472.386135, USDC, 47.6405152330816, ETH,1,605.19645434,USDC per ETH,Uniswap V3
"0xe949a2a4c8e038b81c598b5963d611ae07994cad8f1594c6ec794311ca64f6d4","16730072",1677628811,2023-03-01 00:00:11,Buy,1.79509519822166, ETH, 251.036342608816, FXS,0.00715074,ETH per FXS,Uniswap V3
"0x4510b3a1d80f80480c7e091550f39ca30b002306d2a701cf3e84d0460441b17e","16730072",1677628811,2023-03-01 00:00:11,Buy,2.22506279802021, ETH, 311.373486479747, FXS,0.00714596,ETH per FXS,Uniswap V3
"0xce8b1cbd2bc2ef6f41e061c13f51306ace7493024687e67ebdd7f8f15fc875df","16730073",1677628823,2023-03-01 00:00:23,Buy,0.238413975024708, ETH, 3401.57802150714, SI,0.00007009,ETH per SI,SushiSwap
"0xce8b1cbd2bc2ef6f41e061c13f51306ace7493024687e67ebdd7f8f15fc875df","16730073",1677628823,2023-03-01 00:00:23,Sell,3401.57802150714, SI, 0.236021762061863, ETH,0.00006939,ETH per SI,Uniswap V2
"0x391de55c0f292eb90fb84ed8ee0962fe1ecbe8df8f1cb87ce606a9a703816d9c","16730073",1677628823,2023-03-01 00:00:23,Sell,23801.4119228535, SI, 1.6191597601402, ETH,0.00006803,ETH per SI,Uniswap V2
